date,change,change_pct,effect,num,sum,max_mag,max_sig,min_depth,min_dist,tsunami
2008-08-01,-59.5595703125,-0.7057899914584008,0,0,,,,,,
2008-08-04,-110.509765625,-1.3188644633146316,0,0,,,,,,
2008-08-05,203.1494140625,2.456848226008542,0,2,12.3,6.3,614.0,6.0,11867.376210037273,0.0
2008-08-06,29.6005859375,0.3493997346908946,0,0,,,,,,
2008-08-07,-163.2998046875,-1.9207899706641858,1,0,,,,,,
2008-08-08,122.0302734375,1.4634927888790523,0,0,,,,,,
2008-08-11,32.7001953125,0.3865161556480993,0,3,19.0,6.5,650.0,10.0,14087.6317412579,0.0
2008-08-12,-93.7998046875,-1.1045004041934932,0,1,6.0,6.0,554.0,13.0,6999.629576084493,0.0
2008-08-13,-23.310546875,-0.2775494580460216,0,0,,,,,,
2008-08-14,10.6396484375,0.12703557159244425,0,0,,,,,,
2008-08-15,-2.1796875,-0.02599244681854547,0,1,6.0,6.0,562.0,10.0,13778.117719176098,0.0
2008-08-18,-101.9296875,-1.215794849645329,0,0,,,,,,
2008-08-19,-69.33984375,-0.837254746819584,0,1,6.1,6.1,572.0,8.0,11887.650026091831,0.0
2008-08-20,64.4501953125,0.7847855042101495,0,0,,,,,,
2008-08-21,37.4296875,0.4522290581239644,0,1,6.0,6.0,556.0,10.0,12671.953600034096,0.0
2008-08-22,59.41015625,0.7145676974666298,0,1,6.0,6.0,554.0,6.0,15380.436966903388,0.0
2008-08-25,-144.51953125,-1.7259051969703243,1,1,6.7,6.7,692.0,12.0,11742.301412898205,0.0
2008-08-26,34.8701171875,0.42375445952704033,0,0,,,,,,
2008-08-27,86.08984375,1.0417769626380275,0,2,12.7,6.4,665.0,16.0,5355.797014800556,0.0
2008-08-28,116.2802734375,1.3926048357027807,0,1,6.3,6.3,611.0,12.0,7279.903195409703,0.0
2008-08-29,-83.990234375,-0.9920805199431185,0,0,,,,,,
2008-09-02,-85.7998046875,-1.0235257496660048,0,3,18.4,6.4,635.0,11.0,12577.258865214959,0.0
