date,change,change_pct,effect,num,sum,max_mag,max_sig,min_depth,min_dist,tsunami
2008-08-01,592.4306640625,4.2123131535900855,0,108,687.8000000000001,7.9,1870.0,6.0,1910.8759501994273,0.0
2008-08-04,-16.76953125,-0.11490198904496654,0,0,,,,,,
2008-08-05,398.390625,2.7356958578300805,0,2,12.3,6.3,614.0,6.0,3581.878097749718,0.0
2008-08-06,-190.1103515625,-1.2455103903537164,2,0,,,,,,
2008-08-07,85.3896484375,0.5680577549313389,0,0,,,,,,
2008-08-08,131.25,0.8728719200740278,0,0,,,,,,
2008-08-11,73.6103515625,0.4770503872723612,0,3,19.0,6.5,650.0,10.0,2217.983482322864,0.0
2008-08-12,-365.0703125,-2.3436195716984956,1,1,6.0,6.0,554.0,13.0,10551.046957494626,0.0
2008-08-13,62.91015625,0.4185580668101061,0,0,,,,,,
2008-08-14,-293.5,-1.954363164665813,1,0,,,,,,
2008-08-18,-35.4794921875,-0.24166715280360437,0,1,6.0,6.0,562.0,10.0,5529.74681987495,0.0
2008-08-19,25.970703125,0.17888919188822203,0,0,,,,,,
2008-08-20,67.66015625,0.4630904530271053,0,1,6.1,6.1,572.0,8.0,12996.967240323924,0.0
2008-08-21,-403.25,-2.7531271777166104,1,0,,,,,,
2008-08-22,248.1005859375,1.7529411123425809,0,2,12.0,6.0,556.0,6.0,2640.7520955824125,0.0
2008-08-25,-193.0205078125,-1.3181426561495173,0,0,,,,,,
2008-08-26,143.9501953125,1.0039579392671,0,1,6.7,6.7,692.0,12.0,1691.9883626114122,0.0
2008-08-27,-266.3095703125,-1.8286599519038045,2,2,12.7,6.4,665.0,16.0,4526.585489924609,0.0
2008-08-28,-241.6298828125,-1.6909054913066277,1,0,,,,,,
2008-08-29,285.5107421875,1.9995122323535761,0,1,6.3,6.3,611.0,12.0,10051.372677189838,0.0
2008-09-01,85.51953125,0.5933503725412635,0,3,18.4,6.4,635.0,11.0,3077.598397581713,0.0
2008-09-02,440.419921875,3.014625536102211,0,0,,,,,,
2008-09-04,3.25,0.0218181579784113,0,1,6.3,6.3,611.0,569.6,15470.71750195552,0.0
2008-09-05,-85.1796875,-0.5846635349299998,0,0,,,,,,
2008-09-08,-93.08984375,-0.6190282949388898,0,1,6.2,6.2,591.0,36.0,11345.219623434297,0.0
2008-09-09,86.4296875,0.5834194799508552,0,1,6.9,6.9,732.0,110.0,10919.089638591182,0.0
2008-09-10,-54.919921875,-0.373159904241003,0,0,,,,,,
2008-09-11,-233.0400390625,-1.600843271477951,0,4,26.099999999999998,6.8,711.0,9.0,1942.2603516593474,0.0
2008-09-12,-432.390625,-2.995805636648956,2,0,,,,,,
2008-09-15,-60.7802734375,-0.44717518189595407,0,0,,,,,,
2008-09-16,467.0693359375,3.5786008380713406,0,0,,,,,,
2008-09-17,-357.83984375,-2.6271688439289864,0,0,,,,,,
2008-09-18,602.779296875,4.741507250616227,0,1,6.0,6.0,554.0,11.0,18393.35278789382,0.0
2008-09-19,278.490234375,2.0233483906315253,0,0,,,,,,
2008-09-22,-220.3701171875,-1.550228633288034,0,0,,,,,,
2008-09-23,-151.1103515625,-1.1012734281354981,0,0,,,,,,
2008-09-24,55.8095703125,0.4092597882654035,0,1,6.4,6.4,630.0,12.0,15942.353901298766,0.0
2008-09-25,-169.7001953125,-1.237163238012585,1,1,6.0,6.0,554.0,4.0,1684.5111950506782,0.0
2008-09-26,-384.0205078125,-2.847507098003609,1,0,,,,,,
2008-09-29,-514.2099609375,-3.9222847550232225,0,0,,,,,,
2008-09-30,682.25,5.602232989715853,0,1,7.0,7.0,754.0,36.0,12878.733159848187,0.0
2008-10-01,48.9501953125,0.3763454302204517,0,0,,,,,,
2008-10-03,-325.1494140625,-2.530056258004902,0,0,,,,,,
2008-10-06,-482.7900390625,-3.9300779263231918,0,4,25.1,6.7,691.0,10.0,1675.8480631143245,0.0
2008-10-07,-372.8701171875,-3.089714183291531,0,0,,,,,,
2008-10-08,12.1201171875,0.10710374591273776,0,0,,,,,,
2008-10-10,-104.419921875,-0.982103788547615,0,0,,,,,,
2008-10-13,491.41015625,4.542657671938948,0,2,12.3,6.2,785.0,23.0,13759.444346507198,0.0
2008-10-14,-298.029296875,-2.5296530623206674,0,0,,,,,,
2008-10-15,-436.1494140625,-3.878514542052231,0,0,,,,,,
2008-10-16,359.9599609375,3.5215858223589205,0,0,,,,,,
2008-10-17,-787.990234375,-7.321056900684652,1,1,6.7,6.7,731.0,24.0,15966.568634853547,0.0
2008-10-20,62.6201171875,0.6163112422233031,0,1,6.9,6.9,738.0,29.0,13121.130190860722,0.0
2008-10-21,255.279296875,2.4479919013970743,0,0,,,,,,
2008-10-22,-285.330078125,-2.7290654087237285,0,0,,,,,,
2008-10-23,88.4404296875,0.9133332351720884,0,1,6.4,6.4,632.0,233.4,12887.194241178688,0.0
2008-10-24,-796.41015625,-8.385488750100253,0,1,6.3,6.3,611.0,10.0,8298.690170134552,0.0
2008-10-27,-79.30078125,-0.9232980628864628,0,0,,,,,,
2008-10-29,-253.25,-2.7237743971004442,1,2,12.4,6.4,636.0,15.0,1397.2454693716822,0.0
2008-10-31,426.3994140625,4.554741434165698,0,2,12.5,6.4,635.0,10.0,1388.9586269749434,0.0
2008-11-03,128.3095703125,1.2567824345646017,0,2,12.1,6.1,572.0,10.0,8655.105898482809,0.0
2008-11-04,326.5498046875,3.1689803144084276,0,0,,,,,,
2008-11-05,-811.16015625,-7.4206161101451755,1,1,6.3,6.3,611.0,205.7,11191.033051417868,0.0
2008-11-06,-20.810546875,-0.21333144328281753,0,0,,,,,,
2008-11-07,332.7001953125,3.4542604150486254,0,1,6.4,6.4,630.0,13.0,11072.831997570951,0.0
2008-11-10,381.6005859375,3.757923554391601,0,3,18.5,6.3,611.0,10.0,3027.8707154454446,0.0
2008-11-11,-546.759765625,-5.264163938048417,1,0,,,,,,
2008-11-12,-147.419921875,-1.5223433264489479,0,0,,,,,,
2008-11-14,-399.4296875,-4.082123930829768,0,0,,,,,,
2008-11-17,-105.919921875,-1.127175847829286,0,1,7.4,7.4,848.0,30.0,5712.732754061049,0.0
2008-11-18,-146.919921875,-1.6173269395350898,0,0,,,,,,
2008-11-19,-196.8896484375,-2.194815439116583,0,1,6.3,6.3,708.0,32.0,15997.119020799688,0.0
2008-11-20,50.1298828125,0.5967218138074032,0,0,,,,,,
2008-11-21,434.1904296875,5.119554648915018,0,1,6.1,6.1,574.0,118.0,9991.592589468442,0.0
2008-11-24,62.58984375,0.7079874375642281,0,4,26.3,7.3,825.0,10.0,4047.111682259561,0.0
2008-11-25,-474.75,-5.177050055658102,1,0,,,,,,
2008-11-26,220.7001953125,2.506242400772554,0,0,,,,,,
2008-11-28,203.5400390625,2.2897505306222894,0,0,,,,,,
2008-12-01,-323.0703125,-3.5258366566835604,0,1,6.0,6.0,554.0,386.0,12650.878401752403,0.0
2008-12-02,203.41015625,2.383015528522348,0,0,,,,,,
2008-12-03,-103.7900390625,-1.1726071916509564,1,0,,,,,,
2008-12-04,450.73046875,5.134177764903808,0,0,,,,,,
2008-12-05,-207.3798828125,-2.2608675099720825,0,0,,,,,,
2008-12-08,-114.26953125,-1.231765554840316,2,1,6.4,6.4,630.0,398.0,6396.788666913746,0.0
2008-12-10,305.3701171875,3.266154643673087,0,3,19.2,6.8,711.0,11.0,8628.660492108682,0.0
2008-12-11,-33.8603515625,-0.34982158322389956,0,1,6.0,6.0,554.0,51.0,10838.970412103366,0.0
2008-12-12,319.2001953125,3.4063026306067536,0,0,,,,,,
2008-12-15,10.5400390625,0.1073121609644632,0,0,,,,,,
2008-12-16,182.5,1.8632943378904014,0,0,,,,,,
2008-12-17,-357.8095703125,-3.5521297732377017,0,0,,,,,,
2008-12-18,366.2294921875,3.7715956913462354,0,0,,,,,,
2008-12-19,98.580078125,0.9856696794820845,0,2,12.2,6.2,614.0,18.0,16201.842611695087,0.0
2008-12-22,-174.0703125,-1.723055602975695,0,1,6.3,6.3,613.0,19.0,6972.582777750052,0.0
2008-12-23,-126.4501953125,-1.2885724615391199,0,0,,,,,,
2008-12-24,-57.3505859375,-0.5957839915528874,0,1,6.0,6.0,554.0,9.0,13216.050567572078,0.0
2008-12-26,-326.150390625,-3.3780219104437514,1,1,6.3,6.3,624.0,206.0,5870.904388001297,0.0
2008-12-29,214.6591796875,2.3034917531681645,0,0,,,,,,
