date,change,change_pct,effect,num,sum,max_mag,max_sig,min_depth,min_dist,tsunami
2008-08-01,-9.1099853515625,-0.7176494017889452,0,0,,,,,,
2008-08-04,-4.260009765625,-0.3399115672788802,0,0,,,,,,
2008-08-05,30.010009765625,2.3914835706006725,0,2,12.3,6.3,614.0,6.0,11867.376210037273,0.0
2008-08-06,5.199951171875,0.40498377802196256,0,0,,,,,,
2008-08-07,-20.4400634765625,-1.5887994124729934,1,0,,,,,,
2008-08-08,30.0299072265625,2.3714872817601247,0,0,,,,,,
2008-08-11,10.89990234375,0.8420684147108669,0,3,19.0,6.5,650.0,10.0,14087.6317412579,0.0
2008-08-12,-15.2000732421875,-1.1649439976648541,0,1,6.0,6.0,554.0,13.0,6999.629576084493,0.0
2008-08-13,-2.81005859375,-0.2180638938576365,0,0,,,,,,
2008-08-14,10.820068359375,0.8439266898313774,0,0,,,,,,
2008-08-15,4.3499755859375,0.33620401654121873,0,1,6.0,6.0,562.0,10.0,13778.117719176098,0.0
2008-08-18,-19.5400390625,-1.5052335527760337,0,0,,,,,,
2008-08-19,-9.9600830078125,-0.7801733299918142,0,1,6.1,6.1,572.0,8.0,11887.650026091831,0.0
2008-08-20,7.2000732421875,0.5681248470316409,0,0,,,,,,
2008-08-21,6.6500244140625,0.5231831995931854,0,1,6.0,6.0,556.0,10.0,12671.953600034096,0.0
2008-08-22,14.6099853515625,1.1435582418794084,0,1,6.0,6.0,554.0,6.0,15380.436966903388,0.0
2008-08-25,-23.6300048828125,-1.8311162149660456,1,1,6.7,6.7,692.0,12.0,11742.301412898205,0.0
2008-08-26,4.47998046875,0.35358123842069616,0,0,,,,,,
2008-08-27,10.3699951171875,0.8157064712655775,0,2,12.7,6.4,665.0,16.0,5355.797014800556,0.0
2008-08-28,16.8900146484375,1.315636835815582,0,1,6.3,6.3,611.0,12.0,7279.903195409703,0.0
2008-08-29,-13.6600341796875,-1.0536166327993082,0,0,,,,,,
2008-09-02,-10.25,-0.7959125311389119,0,3,18.4,6.4,635.0,11.0,12577.258865214959,0.0
2008-09-03,-1.6300048828125,-0.12768229149982852,0,1,6.3,6.3,611.0,569.6,7550.739086862271,0.0
2008-09-04,-34.9700927734375,-2.7496533598705235,0,0,,,,,,
2008-09-05,9.10009765625,0.7379195712408942,0,0,,,,,,
2008-09-08,18.2900390625,1.4637886404561824,0,2,13.100000000000001,6.9,732.0,36.0,13425.088040782493,0.0
2008-09-09,-43.469970703125,-3.428285254713163,1,0,,,,,,
2008-09-10,4.5400390625,0.369860616089613,0,2,12.7,6.6,670.0,9.0,5020.014276476237,0.0
2008-09-11,20.010009765625,1.6281007233001492,0,2,13.399999999999999,6.8,711.0,25.0,10100.345650044377,0.0
2008-09-12,5.8199462890625,0.46713537951112105,0,0,,,,,,
2008-09-15,-58.2200927734375,-4.654181780461003,0,0,,,,,,
2008-09-16,25.2899169921875,2.128225441608705,0,0,,,,,,
2008-09-17,-53.949951171875,-4.457421277939064,0,0,,,,,,
2008-09-18,49.4300537109375,4.271965256357899,0,1,6.0,6.0,554.0,11.0,5984.994025002638,0.0
2008-09-19,41.969970703125,3.459700374237872,0,0,,,,,,
2008-09-22,-48.280029296875,-3.8458804563325657,0,0,,,,,,
2008-09-23,-19.3900146484375,-1.6056520634675466,0,0,,,,,,
2008-09-24,-2.9200439453125,-0.24563159593895117,0,1,6.4,6.4,630.0,12.0,3960.425313309953,0.0
2008-09-25,21.31005859375,1.793972293377752,0,1,6.0,6.0,554.0,4.0,11748.22282957809,0.0
2008-09-26,8.800048828125,0.7306158760427922,0,0,,,,,,
2008-09-29,-102.64990234375,-8.489988743728862,0,1,7.0,7.0,754.0,36.0,13191.119960485594,0.0
2008-09-30,52.5799560546875,4.72085642331736,0,0,,,,,,
2008-10-01,-3.1099853515625,-0.26714184647999695,0,0,,,,,,
2008-10-02,-46.3599853515625,-3.994346633448195,0,0,,,,,,
2008-10-03,-15.9300537109375,-1.428499338451961,0,0,,,,,,
2008-10-06,-40.6700439453125,-3.7054959887499037,0,4,25.1,6.7,691.0,10.0,10536.08623319994,0.0
2008-10-07,-61.3699951171875,-5.802760640495188,1,0,,,,,,
2008-10-08,-3.969970703125,-0.40144915219140787,0,0,,,,,,
2008-10-09,-78.5,-7.941968126633409,1,0,,,,,,
2008-10-10,-3.09002685546875,-0.3424573443527751,0,0,,,,,,
2008-10-13,90.5999755859376,9.92604498339497,0,2,12.3,6.2,785.0,23.0,2543.8328872133584,0.0
2008-10-14,-11.9599609375,-1.1841897565700559,0,0,,,,,,
2008-10-15,-86.75994873046886,-8.723099825068559,1,0,,,,,,
2008-10-16,36.89996337890625,4.057036292406122,0,1,6.7,6.7,731.0,24.0,3420.2952687528573,0.0
2008-10-17,-1.739990234375,-0.18465549617938398,0,0,,,,,,
2008-10-20,41.890014648437386,4.439806066163854,0,1,6.9,6.9,738.0,29.0,12374.066891789034,0.0
2008-10-21,-25.35003662109364,-2.585682985498101,0,0,,,,,,
2008-10-22,-54.88995361328125,-5.767750858909166,0,1,6.4,6.4,632.0,233.4,12271.898292472812,0.0
2008-10-23,9.029968261718636,1.0043564632819868,0,1,6.3,6.3,611.0,10.0,14228.950027034425,0.0
2008-10-24,-18.449951171875,-2.0609405258669566,0,0,,,,,,
2008-10-27,-25.36004638671875,-2.9006777619196153,0,0,,,,,,
2008-10-28,91.59002685546876,10.789005877973544,0,1,6.0,6.0,554.0,18.3,14283.922517508392,0.0
2008-10-29,-9.41998291015625,-1.0026484882802056,0,2,12.8,6.4,636.0,14.0,11158.635054847298,0.0
2008-10-30,14.710021972656364,1.5659287930544612,0,1,6.1,6.1,572.0,10.0,6536.8848316253425,0.0
2008-10-31,15.640014648437614,1.6409454196063917,0,0,,,,,,
2008-11-03,-2.3699951171875,-0.2446648661567245,0,2,12.1,6.1,572.0,10.0,7225.597208363085,0.0
2008-11-04,34.44000244140625,3.545727165165792,0,1,6.3,6.3,611.0,205.7,13551.146759689527,0.0
2008-11-05,-49.07000732421875,-4.897988302407673,0,0,,,,,,
2008-11-06,-47.52001953125,-4.989502132833876,0,0,,,,,,
2008-11-07,23.54998779296875,2.595211554439863,0,2,12.600000000000001,6.4,630.0,10.0,13428.892574314626,0.0
