date,change,change_pct,effect,num,sum,max_mag,max_sig,min_depth,min_dist,tsunami
2008-08-01,-15.8701171875,-0.6820488241362436,0,0,,,,,,
2008-08-04,-24.18994140625,-1.0472969544864164,0,0,,,,,,
2008-08-05,41.690185546875,1.8062243835796399,0,2,12.3,6.3,614.0,6.0,11867.376210037273,0.0
2008-08-06,29.2001953125,1.24300056120222,0,0,,,,,,
2008-08-07,-7.06005859375,-0.2988017757409908,0,0,,,,,,
2008-08-08,57.260009765625,2.4295246020222265,0,0,,,,,,
2008-08-11,32.39990234375,1.3457623595206527,0,3,19.0,6.5,650.0,10.0,14087.6317412579,0.0
2008-08-12,-3.64990234375,-0.14993888611354295,0,1,6.0,6.0,554.0,13.0,6999.629576084493,0.0
2008-08-13,4.300048828125,0.1773713332759316,0,0,,,,,,
2008-08-14,39.260009765625,1.6260706008833883,0,0,,,,,,
2008-08-15,-10.580078125,-0.4295431653414093,0,1,6.0,6.0,562.0,10.0,13778.117719176098,0.0
2008-08-18,-39.97998046875,-1.6272133491949488,0,0,,,,,,
2008-08-19,-20.58984375,-0.8561443758930226,0,1,6.1,6.1,572.0,8.0,11887.650026091831,0.0
2008-08-20,-7.5,-0.3129459377742861,0,0,,,,,,
2008-08-21,8.83984375,0.3727469747251032,0,1,6.0,6.0,556.0,10.0,12671.953600034096,0.0
2008-08-22,24.369873046875,1.0195148870377015,0,1,6.0,6.0,554.0,6.0,15380.436966903388,0.0
2008-08-25,-34.139892578125,-1.4226555844193896,0,1,6.7,6.7,692.0,12.0,11742.301412898205,0.0
2008-08-26,-2.340087890625,-0.09897550797617649,0,0,,,,,,
2008-08-27,19.599853515625,0.8294969919742929,0,2,12.7,6.4,665.0,16.0,5355.797014800556,0.0
2008-08-28,21.52978515625,0.9007863315332112,0,1,6.3,6.3,611.0,12.0,7279.903195409703,0.0
2008-08-29,-21.14990234375,-0.8854259079525004,0,0,,,,,,
2008-09-02,-52.8701171875,-2.2009864170732865,0,3,18.4,6.4,635.0,11.0,12577.258865214959,0.0
2008-09-03,-13.080078125,-0.5573556358812359,0,1,6.3,6.3,611.0,569.6,7550.739086862271,0.0
2008-09-04,-56.139892578125,-2.4248608849309665,0,0,,,,,,
2008-09-05,14.259765625,0.6361365833427362,0,0,,,,,,
2008-09-08,-26.419921875,-1.1506032916210933,0,2,13.100000000000001,6.9,732.0,36.0,13425.088040782493,0.0
2008-09-09,-60.119873046875,-2.648534309753891,0,0,,,,,,
2008-09-10,-3.510009765625,-0.15724371036095727,0,2,12.7,6.6,670.0,9.0,5020.014276476237,0.0
2008-09-11,59.18994140625,2.691638614192803,0,2,13.399999999999999,6.8,711.0,25.0,10100.345650044377,0.0
2008-09-12,22.02001953125,0.9833658381712627,0,0,,,,,,
2008-09-15,-22.3701171875,-1.0157707870893302,0,0,,,,,,
2008-09-16,58.25,2.709743569708276,0,0,,,,,,
2008-09-17,-78.72998046875,-3.6154803793273245,0,0,,,,,,
2008-09-18,61.68017578125,2.8857303681881357,0,1,6.0,6.0,554.0,11.0,5984.994025002638,0.0
2008-09-19,-30.0,-1.30213990501415,1,0,,,,,,
2008-09-22,-86.7900390625,-3.8304875743944837,0,0,,,,,,
2008-09-23,-37.3798828125,-1.70629081343582,0,0,,,,,,
2008-09-24,-11.8701171875,-0.5476282863188104,0,1,6.4,6.4,630.0,12.0,3960.425313309953,0.0
2008-09-25,14.31005859375,0.6587636162069741,0,1,6.0,6.0,554.0,4.0,11748.22282957809,0.0
2008-09-26,39.280029296875,1.8320395988645046,0,0,,,,,,
2008-09-29,-163.429931640625,-7.611446670503039,0,1,7.0,7.0,754.0,36.0,13191.119960485594,0.0
2008-09-30,58.18994140625,2.861298579566804,0,0,,,,,,
2008-10-01,-5.7001953125,-0.274694956592126,0,0,,,,,,
2008-10-02,-75.7900390625,-3.6925539316202616,0,0,,,,,,
2008-10-03,-58.53002929687523,-2.9178645217461585,1,0,,,,,,
2008-10-06,-35.6700439453125,-1.878725389021445,0,4,25.1,6.7,691.0,10.0,10536.08623319994,0.0
2008-10-07,-113.0899658203125,-6.05416401730185,1,0,,,,,,
2008-10-08,29.3699951171875,1.716579919327543,0,0,,,,,,
2008-10-09,-121.1300048828125,-6.858032831298655,0,0,,,,,,
2008-10-10,58.739990234375,3.6925507466933425,0,0,,,,,,
2008-10-13,109.6500244140625,6.321343592606899,0,2,12.3,6.2,785.0,23.0,2543.8328872133584,0.0
2008-10-14,-115.8599853515625,-6.11440286933232,1,0,,,,,,
2008-10-15,-126.2900390625,-7.1975720904779354,0,0,,,,,,
2008-10-16,73.159912109375,4.448627888309471,0,1,6.7,6.7,731.0,24.0,3420.2952687528573,0.0
2008-10-17,32.510009765625,1.9365258817881696,0,0,,,,,,
2008-10-20,34.9000244140625,2.011378070568239,0,1,6.9,6.9,738.0,29.0,12374.066891789034,0.0
2008-10-21,-45.159912109375,-2.5926556397566136,0,0,,,,,,
2008-10-22,-55.47998046875,-3.3197095024102463,0,1,6.4,6.4,632.0,233.4,12271.898292472812,0.0
2008-10-23,-17.199951171875,-1.0609984101815848,0,1,6.3,6.3,611.0,10.0,14228.950027034425,0.0
2008-10-24,58.239990234375,3.898806974969944,0,0,,,,,,
2008-10-27,-22.219970703125,-1.454072374821652,0,0,,,,,,
2008-10-28,97.22998046875,6.263849732029459,0,1,6.0,6.0,554.0,18.3,14283.922517508392,0.0
2008-10-29,13.22998046875,0.8047531372600851,0,2,12.8,6.4,636.0,14.0,11158.635054847298,0.0
2008-10-30,0.0899658203125,0.005296998844075544,0,1,6.1,6.1,572.0,10.0,6536.8848316253425,0.0
2008-10-31,36.239990234375,2.1511115310440934,0,0,,,,,,
2008-11-03,7.43994140625,0.43283405819142434,0,2,12.1,6.1,572.0,10.0,7225.597208363085,0.0
2008-11-04,19.030029296875,1.0805824612151969,1,1,6.3,6.3,611.0,205.7,13551.146759689527,0.0
2008-11-05,-75.3699951171875,-4.28967363294882,0,0,,,,,,
2008-11-06,-50.8699951171875,-3.065251647328097,0,0,,,,,,
2008-11-07,17.7100830078125,1.0867148748878313,0,2,12.600000000000001,6.4,630.0,10.0,13428.892574314626,0.0
2008-11-10,-63.9300537109375,-3.8038432315283015,1,1,6.3,6.3,611.0,19.0,11271.917267630852,0.0
2008-11-11,-17.68994140625,-1.1065965497395356,0,0,,,,,,
2008-11-12,-55.9600830078125,-3.59832567671168,0,0,,,,,,
2008-11-13,93.639892578125,6.22995016351733,0,0,,,,,,
2008-11-14,-43.739990234375,-2.8027855613811665,0,0,,,,,,
2008-11-17,-12.68994140625,-0.8489731651763875,0,1,7.4,7.4,848.0,30.0,15079.937267370802,0.0
2008-11-18,-5.6600341796875,-0.380141039236914,0,0,,,,,,
2008-11-19,-92.7099609375,-6.267871020900909,0,1,6.3,6.3,708.0,32.0,3706.139267403738,0.0
2008-11-20,-57.6500244140625,-4.19648293341949,0,0,,,,,,
2008-11-21,37.5799560546875,2.790376642610992,0,1,6.1,6.1,574.0,118.0,13699.80773894382,0.0
2008-11-24,62.300048828125,4.41932086675708,0,4,26.3,7.3,825.0,10.0,7624.493844276005,0.0
2008-11-25,-7.2900390625,-0.4952404835378149,0,0,,,,,,
2008-11-26,90.8900146484375,6.306507525753846,0,0,,,,,,
2008-11-28,17.6199951171875,1.1607757623092025,0,0,,,,,,
2008-12-01,-98.02001953125,-6.5517463368257545,0,1,6.0,6.0,554.0,386.0,12489.709686520722,0.0
2008-12-02,25.9500732421875,1.8225286151730011,0,0,,,,,,
2008-12-03,76.3499755859375,5.391833083077258,0,0,,,,,,
2008-12-04,-20.2099609375,-1.3787948087492676,0,0,,,,,,
2008-12-05,82.3800048828125,5.773233570108879,0,0,,,,,,
2008-12-08,30.300048828125,1.9656976580276218,0,2,12.7,6.4,630.0,11.0,15876.676189598382,0.0
2008-12-09,0.7999267578125,0.051723637125968565,0,2,12.899999999999999,6.8,711.0,18.0,13217.785059822301,0.0
2008-12-10,1.8199462890625,0.11639015190519102,1,1,6.0,6.0,554.0,51.0,13375.414551077109,0.0
2008-12-11,-40.5899658203125,-2.62129499365632,0,0,,,,,,
2008-12-12,58.169921875,3.9236396721297977,0,0,,,,,,
2008-12-15,-35.820068359375,-2.3197121779158008,0,0,,,,,,
2008-12-16,63.8299560546875,4.182663434197092,0,0,,,,,,
2008-12-17,10.4300537109375,0.6648088877719219,0,0,,,,,,
2008-12-18,-30.800048828125,-1.9454668780474302,0,0,,,,,,
2008-12-19,-8.4300537109375,-0.5360072300707359,0,1,6.2,6.2,614.0,18.0,8106.483782639114,0.0
2008-12-22,-29.820068359375,-1.9088874783479668,0,1,6.3,6.3,613.0,19.0,10681.215646768784,0.0
2008-12-23,-17.8299560546875,-1.1582631928154583,0,0,,,,,,
2008-12-24,-0.25,-0.016391830049377987,0,1,6.0,6.0,554.0,9.0,11907.406414169467,0.0
2008-12-26,-0.9599609375,-0.06269337566039707,0,1,6.3,6.3,624.0,206.0,14495.186600182866,0.0
2008-12-29,-19.2200927734375,-1.256592981064952,1,0,,,,,,
2008-12-30,29.5198974609375,1.9405919364327284,0,0,,,,,,
2008-12-31,26.1600341796875,1.6867973629028,0,0,,,,,,
2009-01-02,53.3399658203125,3.3783633855397626,0,0,,,,,,
2009-01-05,6.550048828125,0.40395496133300773,0,3,21.700000000000003,7.7,918.0,17.0,10734.819664430495,0.0
2009-01-06,10.010009765625,0.609485669817705,0,0,,,,,,
2009-01-07,-22.5699462890625,-1.3918061593028752,0,1,6.0,6.0,554.0,16.0,14784.583865473136,0.0
2009-01-08,26.760009765625,1.682754898011319,0,1,6.1,6.1,1238.0,14.0,3534.1991709798276,0.0
2009-01-09,-45.4600830078125,-2.8112972162338075,1,0,,,,,,
2009-01-12,-34.659912109375,-2.202797240774069,0,0,,,,,,
2009-01-13,9.0399169921875,0.5879926587264566,0,1,6.0,6.0,554.0,10.0,15077.169958042434,0.0
2009-01-14,-32.0699462890625,-2.1074940108366476,0,0,,,,,,
2009-01-15,22.3800048828125,1.502558341261219,0,2,14.100000000000001,7.4,848.0,27.0,9157.500078708736,0.0
2009-01-16,-3.1400146484375,-0.204898934952494,1,0,,,,,,
