date,change,change_pct,effect,num,sum,max_mag,max_sig,min_depth,min_dist,tsunami
2008-08-01,-181.98046875,-1.3706888486001831,1,0,,,,,,
2008-08-04,-150.1005859375,-1.1472702777929757,0,0,,,,,,
2008-08-05,-42.349609375,-0.3268470900388891,0,1,6.3,6.3,614.0,173.9,4712.515796499375,0.0
2008-08-06,195.4599609375,1.4966959937353697,0,1,6.0,6.0,566.0,6.0,3159.790175425995,0.0
2008-08-07,-133.0,-1.0031686375447826,0,0,,,,,,
2008-08-08,141.8798828125,1.0891609648488545,0,0,,,,,,
2008-08-11,171.4501953125,1.2930405598538248,0,3,19.0,6.5,650.0,10.0,5537.662127068576,0.0
2008-08-12,-94.390625,-0.7045133139284095,0,1,6.0,6.0,554.0,13.0,15726.776603470016,0.0
2008-08-13,-182.58984375,-1.3826656535460147,1,0,,,,,,
2008-08-14,14.189453125,0.1096336267535627,0,0,,,,,,
2008-08-15,27.5,0.2116701829774478,0,0,,,,,,
2008-08-18,193.9599609375,1.4952789342854214,0,1,6.0,6.0,562.0,10.0,2962.898787303759,0.0
2008-08-19,-151.4501953125,-1.1635247210271578,0,0,,,,,,
2008-08-20,97.7099609375,0.7661134590640973,0,1,6.1,6.1,572.0,8.0,7470.360857339462,0.0
2008-08-21,-133.1298828125,-1.0331887589063031,0,0,,,,,,
2008-08-22,-61.330078125,-0.48187549792535417,0,1,6.0,6.0,556.0,10.0,4179.32660805241,0.0
2008-08-25,81.1201171875,0.6338727360093694,0,1,6.0,6.0,554.0,6.0,9806.946298040577,0.0
2008-08-26,67.6796875,0.5324484801317139,0,1,6.7,6.7,692.0,12.0,5195.960743865127,0.0
2008-08-27,18.5703125,0.14582805311190208,0,2,12.7,6.4,665.0,16.0,3325.9748383771425,0.0
2008-08-28,-59.4697265625,-0.46360325786784523,0,0,,,,,,
2008-08-29,147.419921875,1.1405399397884246,0,1,6.3,6.3,611.0,12.0,15429.59966840849,0.0
2008-09-01,-102.6298828125,-0.7933167930987863,0,3,18.4,6.4,635.0,11.0,3742.72034849226,0.0
2008-09-02,-170.419921875,-1.3335007309381264,0,0,,,,,,
2008-09-03,-13.7705078125,-0.10840051318237416,0,0,,,,,,
2008-09-04,-69.9794921875,-0.5541771394795781,0,1,6.3,6.3,611.0,569.6,17625.801629746424,0.0
2008-09-05,-173.419921875,-1.400168068737559,0,0,,,,,,
2008-09-08,264.5302734375,2.140224743390151,0,1,6.2,6.2,591.0,36.0,6892.133185402127,0.0
2008-09-09,-129.3095703125,-1.0320030607889108,0,1,6.9,6.9,732.0,110.0,6150.95072799106,0.0
2008-09-10,97.490234375,0.7958945458462126,0,0,,,,,,
2008-09-11,-135.01953125,-1.10332433713557,0,4,26.099999999999998,6.8,711.0,9.0,770.7602604122854,0.0
2008-09-12,-42.0205078125,-0.3428347973534738,0,0,,,,,,
2008-09-16,-418.73046875,-3.4811672489044327,1,0,,,,,,
2008-09-17,12.169921875,0.10368304437779066,0,0,,,,,,
2008-09-18,-87.640625,-0.7570275197690182,1,1,6.0,6.0,554.0,11.0,12488.480329018246,0.0
2008-09-19,289.2607421875,2.4868526419561205,0,0,,,,,,
2008-09-22,52.7001953125,0.4377859978085146,0,0,,,,,,
2008-09-24,83.0498046875,0.6902421833479591,0,1,6.4,6.4,630.0,12.0,10966.257395125684,0.0
2008-09-25,80.8203125,0.6776981224994221,0,1,6.0,6.0,554.0,4.0,5201.558650688598,0.0
2008-09-26,-133.1796875,-1.1074000005846543,0,0,,,,,,
2008-09-29,-139.6396484375,-1.1750964461531987,0,0,,,,,,
2008-09-30,-305.83984375,-2.6443694595676517,1,1,7.0,7.0,754.0,36.0,8503.675287495093,0.0
2008-10-01,-28.3505859375,-0.248763317012177,0,0,,,,,,
2008-10-02,-268.3701171875,-2.349357137147637,0,0,,,,,,
2008-10-03,-113.9599609375,-1.0311159414527253,0,0,,,,,,
2008-10-06,-344.1796875,-3.181761224546542,0,3,18.8,6.7,691.0,10.0,5706.956008292463,0.0
2008-10-07,-172.6396484375,-1.6714816206799556,0,1,6.3,6.3,611.0,12.0,4629.668433912288,0.0
2008-10-08,-808.3193359375,-8.073795744972234,2,0,,,,,,
2008-10-09,-10.669921875,-0.11638018635316093,0,0,,,,,,
2008-10-10,-739.91015625,-8.206325061747703,1,0,,,,,,
2008-10-14,1039.6298828125,12.364857856766953,0,2,12.3,6.2,785.0,23.0,13406.654810828179,0.0
2008-10-15,156.9697265625,1.6715800709493638,0,0,,,,,,
2008-10-16,-942.3994140625,-10.024619616536487,1,0,,,,,,
2008-10-17,114.25,1.3316517708764917,0,1,6.7,6.7,731.0,24.0,12217.372879750474,0.0
2008-10-20,230.349609375,2.6249949086596853,0,1,6.9,6.9,738.0,29.0,8029.3585310089775,0.0
2008-10-21,166.990234375,1.8271746143280803,0,0,,,,,,
2008-10-22,-523.44921875,-5.690816173234759,0,0,,,,,,
2008-10-23,-86.8095703125,-1.015579113616378,0,1,6.4,6.4,632.0,233.4,7630.209485152284,0.0
2008-10-24,-741.9599609375,-8.84228841101319,1,1,6.3,6.3,611.0,10.0,4284.492692257308,0.0
2008-10-27,-405.4599609375,-5.357302880174008,1,0,,,,,,
2008-10-28,478.580078125,6.699668342725277,0,0,,,,,,
2008-10-29,470.38037109375,6.076072527191263,0,2,12.4,6.4,636.0,15.0,4382.986977345488,0.0
2008-10-30,760.0498046875,9.190767370048569,0,1,6.4,6.4,635.0,14.0,6617.469798173213,0.0
2008-10-31,-381.2392578125,-4.25574801075784,1,1,6.1,6.1,572.0,10.0,12576.815184124453,0.0
2008-11-04,411.830078125,4.732172633621929,0,2,12.1,6.1,572.0,10.0,4015.796060739439,0.0
2008-11-05,297.1904296875,3.221908337230281,0,1,6.3,6.3,611.0,205.7,6581.926695464335,0.0
2008-11-06,-474.5107421875,-5.062176659181562,0,0,,,,,,
2008-11-07,-191.490234375,-2.182351672406183,2,0,,,,,,
2008-11-10,369.439453125,4.24058617131248,0,3,18.900000000000002,6.4,630.0,10.0,3900.3764159162247,0.0
2008-11-11,-155.990234375,-1.7399351688047773,0,0,,,,,,
2008-11-12,0.599609375,0.006896096270402449,0,0,,,,,,
2008-11-13,-325.830078125,-3.804439603708864,1,0,,,,,,
2008-11-14,84.259765625,1.0057109021173873,0,0,,,,,,
2008-11-17,155.7001953125,1.8609110862502531,0,1,7.4,7.4,848.0,30.0,4226.097376450869,0.0
2008-11-18,-87.189453125,-1.0360456434722811,0,0,,,,,,
2008-11-19,-36.1298828125,-0.4348099973039594,0,1,6.3,6.3,708.0,32.0,13405.406147756112,0.0
2008-11-20,-446.72998046875,-5.4815041332227015,0,0,,,,,,
2008-11-21,310.43994140625,4.084547914470171,0,0,,,,,,
2008-11-25,297.86962890625,3.7112808368199515,0,5,32.4,7.3,825.0,10.0,2346.045164279812,0.0
2008-11-26,-16.5,-0.20049285453481588,0,0,,,,,,
2008-11-27,62.1494140625,0.7477754499918339,0,0,,,,,,
2008-11-28,112.2197265625,1.3359412047756878,0,0,,,,,,
2008-12-01,-67.140625,-0.7932155793391524,0,1,6.0,6.0,554.0,386.0,7504.056063995426,0.0
2008-12-02,-402.63037109375,-4.87073275499509,2,0,,,,,,
2008-12-03,38.7900390625,0.4869871828862398,0,0,,,,,,
2008-12-04,-105.9599609375,-1.3195182979292648,0,0,,,,,,
2008-12-05,-57.5400390625,-0.7215006861609774,0,0,,,,,,
2008-12-08,358.35986328125,4.495970435628631,0,1,6.4,6.4,630.0,398.0,5021.596485189746,0.0
2008-12-09,33.5,0.40060412933823825,0,2,13.1,6.8,711.0,11.0,8679.704990446819,0.0
2008-12-10,284.240234375,3.3935080512774594,0,1,6.1,6.1,572.0,224.1,6449.2717294182385,0.0
2008-12-11,78.2900390625,0.9058977765734647,0,1,6.0,6.0,554.0,51.0,6016.726336787912,0.0
2008-12-12,-363.25,-4.2242694025631025,1,0,,,,,,
2008-12-15,314.810546875,3.7702540956131556,0,0,,,,,,
2008-12-16,-40.380859375,-0.46908667746189964,0,0,,,,,,
2008-12-17,-45.7001953125,-0.527824388335822,0,0,,,,,,
2008-12-18,102.0703125,1.191691814723619,0,0,,,,,,
2008-12-19,-51.7001953125,-0.5983666729395649,0,1,6.2,6.2,614.0,18.0,17108.650527089627,0.0
2008-12-22,121.2802734375,1.409825904533566,0,1,6.3,6.3,613.0,19.0,256.6254584155066,0.0
2008-12-24,-113.150390625,-1.3110905318501782,0,0,,,,,,
2008-12-25,67.990234375,0.7969308626820658,0,2,12.3,6.3,624.0,9.0,3627.6256569631223,0.0
2008-12-26,97.3798828125,1.1268029304537597,0,0,,,,,,
2008-12-29,20.8603515625,0.23905124376366774,0,0,,,,,,
2008-12-30,143.279296875,1.6438124105719463,0,0,,,,,,
2009-01-05,51.91015625,0.5773433884374268,0,3,21.700000000000003,7.7,918.0,17.0,4059.668685609206,0.0
2009-01-06,-49.169921875,-0.5385527851254609,1,0,,,,,,
2009-01-07,105.4404296875,1.154398300183759,0,1,6.0,6.0,554.0,16.0,4076.7984376873915,0.0
2009-01-08,-266.7900390625,-2.9179034518763762,1,0,,,,,,
2009-01-09,-95.91015625,-1.0736960750926934,0,1,6.1,6.1,1238.0,14.0,13157.555913582935,0.0
2009-01-13,-318.7197265625,-3.649756497636547,2,1,6.0,6.0,554.0,10.0,9432.001379062513,0.0
2009-01-14,12.7001953125,0.15073073984511765,0,0,,,,,,
2009-01-15,-286.06982421875,-3.442733732880234,1,0,,,,,,
2009-01-16,104.9501953125,1.2916628857101478,0,2,14.100000000000001,7.4,848.0,27.0,1782.7215161512636,0.0
2009-01-19,-61.41015625,-0.7382572554872106,0,3,19.0,6.6,670.0,12.0,7220.190608790807,0.0
2009-01-20,-121.35009765625,-1.4822037442843237,0,0,,,,,,
2009-01-21,-48.31982421875,-0.6077995921510513,0,0,,,,,,
2009-01-22,63.4404296875,0.7941668595146295,0,1,6.1,6.1,572.0,24.0,7252.302384809749,0.0
2009-01-23,-220.16015625,-2.763952538931758,1,2,12.2,6.1,579.0,44.0,4693.955375854742,0.0
2009-01-26,-32.11962890625,-0.4163669604357393,0,0,,,,,,
