Ticker,Company_name,Industry
M&M.BO,Mahindra & Mahindra,Automobile
MARUTI.BO,Maruti Suzuki,Automobile
TATAMOTORS.BO,Tata Motors,Automobile
AXISBANK.BO,Axis Bank,Banking - Private
HDFCBANK.BO,HDFC Bank,Banking - Private
ICICIBANK.BO,ICICI Bank,Banking - Private
INDUSINDBK.BO,IndusInd Bank,Banking - Private
KOTAKBANK.BO,Kotak Mahindra Bank,Banking - Private
SBIN.BO,State Bank of India,Banking - Public
ULTRACEMCO.BO,UltraTech Cement,Cement
ITC.BO,ITC,Cigarettes & FMCG
RELIANCE.BO,Reliance Industries,Conglomerate
TITAN.BO,Titan Company,Diamond & Jewellery
ZOMATO.BO,Zomato,E-commerce
LT.BO,Larsen & Toubro,Engineering & Construction
BAJAJFINSV.BO,Bajaj Finserv,Finance (Investment)
BAJFINANCE.BO,Bajaj Finance,Finance (NBFC)
HINDUNILVR.BO,Hindustan Unilever,FMCG
NESTLEIND.BO,Nestlé India,FMCG
HCLTECH.BO,HCL Technologies,IT Services & Consulting
INFY.BO,Infosys,IT Services & Consulting
TCS.BO,Tata Consultancy Services,IT Services & Consulting
TECHM.BO,Tech Mahindra,IT Services & Consulting
ASIANPAINT.BO,Asian Paints,Paints
SUNPHARMA.BO,Sun Pharmaceutical Industries,Pharmaceuticals
ADANIPORTS.BO,Adani Ports and Special Economic Zone,Ports & Port Services
NTPC.BO,NTPC,Power Generation/Distribution
POWERGRID.BO,Power Grid Corporation of India,Power Generation/Distribution
TATASTEEL.BO,Tata Steel,Steel
BHARTIARTL.BO,Bharti Airtel,Telecommunications
