tsunami,significance,data_type,magnitude,state,longitude,latitude,depth,date,time
0,613,earthquake,6.3, Papua New Guinea,146.884,-5.878,34.0,2008-01-01,18:54:59.010000+00:00
0,557,earthquake,6.0, Indonesia,101.032,-2.782,35.0,2008-01-04,07:29:18.300000+00:00
0,671,earthquake,6.6, Canada,-130.746,51.254,15.0,2008-01-05,11:01:06.110000+00:00
0,630,earthquake,6.4, Canada,-130.542,51.163,10.0,2008-01-05,11:44:48.170000+00:00
0,920,earthquake,6.2, Greece,22.693,37.216,75.0,2008-01-06,05:14:20.180000+00:00
0,630,earthquake,6.4,western Xizang,85.166,32.288,10.0,2008-01-09,08:26:45.490000+00:00
0,572,earthquake,6.1, Canada,-131.183,51.649,10.0,2008-01-09,14:40:00.960000+00:00
0,611,earthquake,6.3, Oregon,-127.264,43.785,13.0,2008-01-10,01:37:19+00:00
0,650,earthquake,6.5,Fiji region,-179.535,-21.984,597.6,2008-01-15,17:52:15.690000+00:00
0,572,earthquake,6.1, Indonesia,126.816,2.346,35.0,2008-01-20,20:26:04.880000+00:00
0,554,earthquake,6.0, Tonga,-175.348,-15.277,6.0,2008-01-22,07:55:48.880000+00:00
0,572,earthquake,6.1, Tonga,-175.589,-15.419,10.0,2008-01-22,10:49:21.800000+00:00
0,593,earthquake,6.2, Indonesia,97.442,1.011,20.0,2008-01-22,17:14:57.950000+00:00
0,591,earthquake,6.2, Timor Leste,127.688,-7.302,8.0,2008-01-30,07:32:42.800000+00:00
0,554,earthquake,6.0,Fiji region,-179.352,-21.495,604.2,2008-02-01,12:10:06.400000+00:00
0,611,earthquake,6.3, Chile,-70.037,-20.166,35.0,2008-02-04,17:01:29.980000+00:00
0,732,earthquake,6.9,northern Mid-Atlantic Ridge,-41.899,10.671,9.0,2008-02-08,09:38:14.100000+00:00
0,554,earthquake,6.0, Indonesia,125.084,-0.236,38.0,2008-02-09,18:34:01.600000+00:00
0,670,earthquake,6.6,South Sandwich Islands region,-25.586,-60.797,8.0,2008-02-10,12:22:02.650000+00:00
0,723,earthquake,6.5, Mexico,-94.304,16.357,83.0,2008-02-12,12:50:18.490000+00:00
0,591,earthquake,6.2, Timor Leste,128.644,-8.158,19.0,2008-02-13,19:58:46.130000+00:00
0,941,earthquake,6.9, Greece,21.67,36.501,29.0,2008-02-14,10:09:22.720000+00:00
0,692,earthquake,6.5, Greece,21.863,36.345,28.0,2008-02-14,12:08:55.790000+00:00
0,575,earthquake,6.1, Chile,-68.385,-21.346,130.1,2008-02-16,14:45:11.690000+00:00
0,914,earthquake,7.4, Indonesia,95.964,2.768,26.0,2008-02-20,08:08:30.520000+00:00
0,602,earthquake,6.2, Greece,21.775,36.288,9.9,2008-02-20,18:27:06+00:00
0,575,earthquake,6.1, Svalbard and Jan Mayen,18.571,77.079,12.0,2008-02-21,02:46:18.190000+00:00
0,711,earthquake,6.8,South Sandwich Islands region,-23.433,-57.335,14.0,2008-02-23,15:57:20.490000+00:00
0,654,earthquake,6.5, Indonesia,99.931,-2.405,22.0,2008-02-24,14:46:21.470000+00:00
0,832,earthquake,7.2, Indonesia,99.972,-2.486,25.0,2008-02-25,08:36:33.030000+00:00
0,674,earthquake,6.6, Indonesia,99.891,-2.332,25.0,2008-02-25,18:06:03.900000+00:00
0,696,earthquake,6.7, Indonesia,99.808,-2.245,25.0,2008-02-25,21:02:18.420000+00:00
0,591,earthquake,6.2, Japan region,142.438,26.816,15.0,2008-02-27,06:54:20.610000+00:00
0,593,earthquake,6.2, Indonesia,99.823,-2.18,25.0,2008-03-03,02:37:27.120000+00:00
0,650,earthquake,6.5,Kuril Islands,153.175,46.406,10.0,2008-03-03,09:31:02.500000+00:00
0,561,earthquake,6.0, Philippines,121.334,19.913,10.0,2008-03-03,13:49:40.420000+00:00
0,740,earthquake,6.9,Philippine Islands region,125.63,13.351,24.0,2008-03-03,14:11:14.620000+00:00
0,630,earthquake,6.4, Vanuatu,167.335,-16.567,13.0,2008-03-12,11:23:34.060000+00:00
0,554,earthquake,6.0,Prince Edward Islands region,35.008,-45.492,10.0,2008-03-13,13:28:44.850000+00:00
0,554,earthquake,6.0, Japan region,142.599,26.988,10.0,2008-03-14,22:32:09.380000+00:00
0,554,earthquake,6.0, Indonesia,94.596,2.708,25.0,2008-03-15,14:43:26.500000+00:00
0,591,earthquake,6.2, New Zealand,-177.44,-29.252,25.0,2008-03-18,08:22:47.070000+00:00
0,577,earthquake,6.1, Philippines,126.934,6.192,45.0,2008-03-20,14:10:40.400000+00:00
0,798,earthquake,7.2, China,81.467,35.49,10.0,2008-03-20,22:32:57.930000+00:00
0,591,earthquake,6.2, Alaska,-178.716,52.176,132.0,2008-03-22,21:24:11.270000+00:00
0,601,earthquake,6.2, Chile,-68.963,-20.043,120.0,2008-03-24,20:39:07.630000+00:00
0,611,earthquake,6.3, Indonesia,95.296,2.855,20.0,2008-03-29,17:30:50.150000+00:00
0,630,earthquake,6.4, Vanuatu,168.861,-20.175,16.0,2008-04-09,11:13:17.690000+00:00
0,611,earthquake,6.3, Vanuatu,168.905,-20.185,35.0,2008-04-09,11:23:40.350000+00:00
